id,title,agency,category,amount,city,eligible_identity,min_age,max_age,income_limit,housing_status,family_status,description,apply_url,source_url,updated_at
social-housing,社會住宅申請,內政部國土管理署,租屋住宅,依地區而定（月租金低於市價）,全國,弱勢族群,18,0,一般,租屋,,政府興建平價住宅，租金低於市價20-30%；年滿18歲，設有戶籍；無自有住宅；符合特定條件之一（弱勢優先）；家庭年收入符合規定,前往社會住宅申請系統,前往社會住宅申請系統,2026-05-09
single-parent-rent,單親家庭租屋補助,內政部國土管理署,租屋住宅,$4500（每月最高補貼）,全國,單親家庭,0,0,一般,租屋,單親,單親家長帶子女承租住宅可申請額外補助；領有單親家庭相關證明；無自有住宅；子女未成年且同住；租有合法房屋,前往衛生福利部申請,前往衛生福利部申請,2026-05-09
indigenous-rent,原住民租屋補助,各地方政府,租屋住宅,$5000（每月最高補貼）,全國,一般民眾,0,0,一般,租屋,,原住民族委員會提供原住民族人租屋補助；具原住民族身分；無自有住宅；在都市地區租屋；設籍或就業地符合規定,前往原住民族委員會申請,前往原住民族委員會申請,2026-05-09
elderly-rent,老人租屋補助,內政部國土管理署,租屋住宅,$3000（每月最高補貼）,全國,一般民眾,65,0,一般,租屋,,65歲以上老人承租住宅可獲補助；年滿65歲；無自有住宅；租有合法房屋；符合所得限制,前往社會及家庭署申請,前往社會及家庭署申請,2026-05-09
disability-rent,身障者租屋補助,各地方政府,租屋住宅,$4000（每月最高補貼）,全國,身心障礙者,0,0,一般,租屋,,持有效身心障礙手冊者可申請租金補貼；領有身心障礙手冊或證明；無自有住宅；租有合法房屋；符合所得限制,前往社會及家庭署申請,前往社會及家庭署申請,2026-05-09
lowincome-rent,低收入戶住宅補助,內政部國土管理署,租屋住宅,$5500（每月最高補貼）,全國,一般民眾,0,0,低收入戶,租屋,,低收入戶承租住宅可獲補助或住宅修繕；領有低收入戶資格證明；無自有住宅或自有住宅需修繕；設籍於該縣市,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
childcare-subsidy,育兒津貼,衛福部,育兒生育,$5000（每月（自行照顧））,全國,有子女者,0,0,一般,,有子女,2歲以下幼兒自行照顧每月補助；子女未滿2歲；父母或監護人親自照顧；未送托任何托育機構；父母未領育嬰留停津貼,前往各縣市線上申請,前往各縣市線上申請,2026-05-09
nursery-subsidy,公共化托育補助,各地方政府,育兒生育,$6000（每月（公共化托育））,全國,有子女者,0,0,一般,,有子女,送托公共化托育機構每月補助（0-2歲）；子女未滿2歲；送托公私立準公共化托育機構；與機構簽訂契約,https://www.sfaa.gov.tw/,https://www.sfaa.gov.tw/,2026-05-09
birth-subsidy,生育給付,各地方政府,育兒生育,$62400（每胎（以投保薪資計算））,全國,有子女者,0,0,一般,,有子女,勞保被保險人生育每胎給付約2個月投保薪資；勞工保險被保險人；分娩或早產；投保滿280天（足月）或181天（早產）,前往勞保局申請,前往勞保局申請,2026-05-09
parental-leave,育嬰留職停薪津貼,各地方政府,育兒生育,$20000（每月（投保薪資60%））,全國,一般民眾,0,0,一般,,,父母留停照顧幼兒最長6個月可領津貼；勞工保險被保險人；子女未滿3歲；留職停薪期間；投保滿6個月以上,https://www.bli.gov.tw/,https://www.bli.gov.tw/,2026-05-09
